게임,문제,정답,제보자
"가로,세로","""피아니스트"", ""늑대의 시간""으로 유명한 이 감독은 누구인가?",미카엘 하네케,
"가로,세로","""피터팬, 롤리타, 스톡홀롬, 수퍼우먼""과 가장 관련이 있는것은?",증후군,
"가로,세로","""하이든, 칸트, 빅벤, 태엽, 서머타임, 앙부일구, 스위스""에서 연상되는 단어는?",시계,
"가로,세로","""학교종이 땡땡땡 어서 모이자~""로 시작하는 동요의 제목은?",학교종,
"가로,세로","""학도군사훈련단""이라는 뜻의 외래어 약자는 무엇인가?",ROTC,
"가로,세로","""한 달이 넘는 동안""을 뜻하는 순 우리말은?",달포,
"가로,세로","""한 마지기""에서 '마지기'는 얼마 만큼의 씨를 뿌릴 수 있는 넓이를 말하는가?",한 말,
"가로,세로","""한 번 ( )은 영원한( )."" ( )에 들어갈 알맞은 말은?",해병,
"가로,세로","""한 없이 넓고 먼 하늘""이 뜻하는 한자성어에 들어가는 숫자는?",아홉,
"가로,세로","""한가지 물건을 여기저기 둘러쓰는 짓""과 관련된 우리말은?",두루치기,
"가로,세로","""한국개발연구원""이라는 뜻의 외래어 약자는 무엇인가?",KDI,
"가로,세로","""한국공업표준규격""이라는 뜻의 외래어 약자는 무엇인가?",KS,
"가로,세로","""한국과학기술원""이라는 뜻의 외래어 약자는 무엇인가?",KAIST,
"가로,세로","""한바탕의 봄꿈처럼 허무하다""는 뜻을 가진 한자성어는?",일장춘몽,
"가로,세로","""한없이 넓은 바다의 푸른 물결""을 뜻하는 한자성어는?",만경창파,
"가로,세로","""한자에서 봄 춘(春)자의 획수""와 ""일반 전화기에서 특수문자의 개수""를 더한 합은?",11,
"가로,세로","""할 줄 모르는 솜씨""를 뜻하는 순 우리말은?",손방,
"가로,세로","""함초/협궤열차/샐러리/잘츠부르크/사해/자반고등어/구두쇠"" 연상되는 단어는?",소금,
"가로,세로","""해로동혈(楷老同穴), 백년가약(百年佳約)""이 뜻하는 것은?",결혼,
"가로,세로","""해몽""은 무엇을 풀이하는 것을 말하는가?",꿈,
"가로,세로","""햇볕은 쨍쨍 모래알은 반짝 모래알로 떡 해놓고~""로 시작하는 동요의 제목은?",햇볕은 쨍쨍,
"가로,세로","""향로""에 관한 문제입니다. 자스민이나 듀베로즈처럼 열에 약하고 섬세한 꽃에서 향을 추출할 때, 지방을 흡착시키는 고전적인(현재는 거의쓰이지 않는) 방식을 무엇이라고 할까요?",앙플뢰라지,
"가로,세로","""향료"" 에 관한 문제입니다. 이 합성 분자는 매우 복잢자고 추상적인 향을 가집니다. '금발의 나무(blond wood)' , '캐시미어 스웨터' 처럼 부드럽고 따뜻하며, 약간의 스파이시함과 머스크 뉘앙스를 줍니다 이 향료는 무엇일까요?",캐시메란 (Cashmeran),
"가로,세로","""향료""에 관한 문제입니다 에틸 말톨(Ethyl Maltol)이라는 합성 향료를 사용하여 솜사탕과 캐러멜,초콜릿같은 달콤한 향을 구현, 구어망이라는 새로운 장르를 연 이 향수는 무엇일까요?",티에리 뮈글러 엔젤,
"가로,세로","""향료""에 관한 문제입니다 우리가 흔히 빨래방 냄새 섬유유연제 냄새 라고 부르는 깨끗하고 파우더리하며 부드러운 살 냄새를 연출하는 합성 향료군은 무엇일까요?",화이트 머스크,
"가로,세로","""향료""에 관한 문제입니다. '가죽(Leather)' 어코드를 만들때, 자작나무 타르 외에 '스모키'하고 '페놀릭(Phenolic)'한 향(장작불 냄새)을 내기 위해 자주 사용되는 이 나무 오일은 무엇일까요?",과이악 우드 (Guaiac Wood),
"가로,세로","""향료""에 관한 문제입니다. '녹색(Green)'향조의 대명사로, 매우 날카롭고 씁쓸하여 '갓 자른 풀'이나 '녹색 콩 줄기'같은 향을 내는 이 수지(Resin)는 무엇일까요?",갈바넘(Galbanum),
"가로,세로","""향료""에 관한 문제입니다. '딥디크 롬브로단로'는 '장미'와 함께, 이 향료의 톡 쏘는 '초록색(green)' 냄새와 '고양이 소변' 같은 독특한 뉘앙스를 결합한 것으로 유명합니다. 이 향료는 무엇일까요?",블랙커런트 (Blackcurrant),
"가로,세로","""향료""에 관한 문제입니다. '라벤더', '베르가못' , '로즈우드' 등 수많은 식물에 공통적으로 함유되어 있어, 상쾌하고 가벼운 꽃과 나무 뉘앙스를 주는 이 분자는 무엇일까요?",리날룰(Linalool),
"가로,세로","""향료""에 관한 문제입니다. '비버'의 분비물에서 유래했으며(현재는 합성), 매우 강하고 스모키한 '가죽(레더)' 냄새를 내는 데 쓰이는 동물성 향료는 무엇일까요?",카스토리움 (Castoreum),
"가로,세로","""향료""에 관한 문제입니다. '솔리플로르(Soliflore)'란 무엇을 의마하는 향수 용어일까요?",단 하나의 '꽃' 향기를 재현하는 데 초점을 맞춘 향수,
"가로,세로","""향료""에 관한 문제입니다. '아이리스(붓꽃)'의 '뿌리(Orris)'에서 추출하며, 수년간의 숙성이 필요해 매우 비쌉니다. '샤넬 No.19'나 '프라다 인퓨전 디리스'의 핵심 성분으로, 어떤 향을 내는 것으로 유명할까요?",차갑고 파우더리한 흙냄새,
"가로,세로","""향료""에 관한 문제입니다. '알데하이드 C - 14'(복숭아)와 '오크모스'의 스파이시한 조화가 특징인, 겔랑의 전설적인 '시프레' 계열 향수는 무엇일까요?",겔랑 미츠코,
"가로,세로","""향료""에 관한 문제입니다. '알데하이드 C-14'가 복숭아 향으로 유명하다면, '알데하이드 C-18'(감마-노나락톤)은 어떤 열대과일의 크리미하고 달콤한 향을 내는 것으로 유명할까요?",코코넛,
"가로,세로","""향료""에 관한 문제입니다. '에틸 말톨(Ethyl Maltol)' 이라는 합성 향료를 사용하여 '솜사탕'과 '캐러멜', '초콜릿' 같은 달콤한 향을 구현, '구어망(Gourmand)'이라는 새로운 장르를 연 이 향수는 무엇일까요?",티에리 뮈글러 엔젤 (Thierry Mugler Angel),
"가로,세로","""향료""에 관한 문제입니다. '유향(프랑킨센스)'과 비교되며, 그보다 어둡고 쓸쓸한, '감초'나 '약재' 같은 '차가운 뉘앙스를 가지는 이 수지(Resin)는 무엇일까요?",미르 (Myrrh),
"가로,세로","""향료""에 관한 문제입니다. '정향(Clove)'의 주성분인 '유제놀(Eugenol)'은, 스파이시하고 약품 같은 뉘앙스 때문에 어떤 붉은 꽃의 향(솔리플로르)을 재현하는 데 필수적으로 사용될까요?",카네이션,
"가로,세로","""향료""에 관한 문제입니다. '제비꽃(Violet)' 향을 인공적으로 구현하기 위해 발명된 분자 그룹으로, 파우더리하고 달콤한 꽃향기와 함께 나무(Woody) 뉘앙스를 가지는 것은 무엇일까요?",이오논 (lonone),
"가로,세로","""향료""에 관한 문제입니다. '튜베로즈(Tuberose)' 꽃 향기를 주제로 하며, 특유의 크리미하고 시원한(멘톨/캠퍼 뉘앙스) 향을 사실적으로 담아낸 딥디크의 대표 향수는 무엇일까요?",딥디크 도손,
"가로,세로","""향료""에 관한 문제입니다. '헬리오트로핀(Heliotropin)'이라는 분자는 어떤 향을 내는 것으로 유명할까요?",파우더리하고 달콤한 아몬드/체리 향,
"가로,세로","""향료""에 관한 문제입니다. '화이트 플라워'의 여왕이라 불리며, 화려하고 크리미한 향과 더불어 톡 쏘는 '캠퍼(장뇌)' 뉘앙스를 가지는 이 꽃은 무엇일까요?",튜베로즈(Tuberose),
"가로,세로","""향료""에 관한 문제입니다. 1960~70년대 히피 문화의 상징으로, 식물의 '잎'을 발효시켜 얻으며 흙냄새와 '다크 초콜릿' 뉘앙스를 가지는 이 향료는 무엇일까요?",패출리 (Patchouli),
"가로,세로","""향료""에 관한 문제입니다. 1990년대 '워터리', '아쿠아' 계열 향수의 폭발적인 유행을 이끈 성분으로, 시원한 바다 냄새나 오이, 멜론 같은 향을 연상시키는 합성 향료는 무엇일까요?",칼론 (Calone),
"가로,세로","""향료""에 관한 문제입니다. 고대부터 종교의식에서 '유향'으로 불리며 사용된 이 향료는, 나무의 수액(진)을 굳힌 것입니다. 스모키하면서도 상쾌한 레몬, 소나무 같은 향이 특징입니다.",프랑킨센스(Frankincense),
"가로,세로","""향료""에 관한 문제입니다. 고전적인 '시프레(Chypre)' 계열 향수의 핵심 골격으로, 베르가못(시트러스)의 상큼함과 대비되는 축축한 흙과 이끼의 느낌을 주는 핵심 베이스 향료는 무엇일까요?",오크모스(Oakmoss),
"가로,세로","""향료""에 관한 문제입니다. 꽃이 아닌 '뿌리'에서 추출하며, 수년간의 숙성 과정을 거쳐야 해 매우 비싼 향료입니다. 특유의 파우더리하고 버터 같은, 혹은 흙냄새 섞인 제비꽃 향을 내는 것은 무엇일까요?",오리스 (Orris),
"가로,세로","""향료""에 관한 문제입니다. 다른 나무 향료(시더우드, 베티버)와 달리, 흙이나 연필심 냄새가 아닌, 매우 부드럽고 '크리미'하며 '우유'같은 뉘앙스를 주는 이 나무 향료는 무엇일까요?",샌달우드 (Sandalwood),
"가로,세로","""향료""에 관한 문제입니다. 다음 중 그 자체로 단일 원료가 아니라, 여러 향료(주로바닐린, 벤조인, 랩다넘 등)를 조합하여 만든 '어코드(Accord, 조화)'를 지칭하는 용어는 무엇일까요?",앰버 (Amber),
"가로,세로","""향료""에 관한 문제입니다. 다음 중 부드러운 나무 향과 함께, 사람의 '살 냄새'와 가장 비슷하다고 알려진 향료는 무엇일까요?",아이소 이 슈퍼 (ISO E SUPER),
"가로,세로","""향료""에 관한 문제입니다. 디올 '화렌하이트(Fahrenheit)'에 사용되어 유명해진 이 향료는, '제비꽃(바이올렛)'의 '꽃'이 아닌 '잎'에서 추출하며, '젖은 오이'나 '주유소' 냄새 같은 독특한 그린-워터리 뉘앙스를 줍니다. 이 향료는 무엇일까요?",바이올렛 리프 앱솔루트,
"가로,세로","""향료""에 관한 문제입니다. 비버의 분비물에서 유래했으며(현재는합성), 매우 강하고 스모키한 가죽(레더)냄새를 내는데 쓰이는 동물성 향료는 무엇일까요?",카스토리움,
"가로,세로","""향료""에 관한 문제입니다. 비터 오렌지 나무의 '꽃'에서 추출하는 '네롤리'(증류)와 '오렌지 블라썸'(추출)과 달리, '잎과 잔가지'를 '증기 증류'하여 얻는 향료는 무엇일까요?",페팃그레인(Petitgrain) / 페티그레인 (Petitgrain),
"가로,세로","""향료""에 관한 문제입니다. 비터 오렌지 나무의 '꽃'에서 향을 추출하는 두 가지 방법이 있습니다. '증기 증류(Steam Distillation)'로 얻어 더 푸르고 상쾌한 향을 내는 것은 무엇일까요?",네롤리 (Neroli),
"가로,세로","""향료""에 관한 문제입니다. 뿌리에서 추출하며, 흙냄새가 나지만 동시에 스모키하고 견과류처럼 고소하며 건조한 나무 향이 특징입니다. 주로 남성 향수의 베이스 노트로 많이 쓰이는 향료는 무엇인가요?",베티버 (Vetiver),
"가로,세로","""향료""에 관한 문제입니다. 샤넬 No.5의 알데하이드와 달리, 매우 강력하고 크리미한 '복숭아' 또는 '살구 껍질' 향을 내는 것으로 유명한 알데하이드는 무엇일까요?",알데하이드 C-14 (Aldehyde C-14),
"가로,세로","""향료""에 관한 문제입니다. 아시아가 원산지인 이 작은 꽃으로, 섬세한 꽃향기와는 대조적으로 강렬한 '살구' 또는 '말린 과일'향, 그리고 '가죽(스웨이드)' 뉘앙스를 동시에 가지는 것은 무엇일까요?",오스만투스 (Osmanthus),
"가로,세로","""향료""에 관한 문제입니다. 열에 약한 자스민 같은 꽃에서 '헥산' 같은 화학 용매를 사용하여 향을 추출하는 현대적인 방식입니다. 이 방식으로 얻는 고농축 원액을 무엇이라고 할까요?",앱솔루트 (Absolute),
"가로,세로","""향료""에 관한 문제입니다. 오래된 종이나 갓 인쇄한 지폐냄새, 혹은 오래된 책 냄새를 연상시키는 주성분입니다. 나무의 '리그닌' 성분이 분해되면서 나는 이 냄새의 주성분인 향료는 무엇일까요?",바닐린(Vanillin),
"가로,세로","""향료""에 관한 문제입니다. 자스민, 튜베로즈 같은 '화이트 플라워'에 자연적으로 존재하지만, 농도가 높으면 동물의 배설물 냄새나 좀약 냄새를 풍기는 분자는 무엇인가요?(소량 사용 시 꽃향에 깊이를 더해줍니다.)",인돌 (lndole),
"가로,세로","""향료""에 관한 문제입니다. 정향(Clove)이나 계피(Cinnamon)에서 발견되며, 특유의 맵고(Spicy)'치과 약품' 냄새를 연상시키는 분자는 무엇일까요?",유제놀,
"가로,세로","""향료""에 관한 문제입니다. 주로 장미(Rose) 향의 핵심 성분으로, 장미꽃 특유의 화사하고 달콤한 향을 내는 분자는 무엇일까요?",제라니올(Geraniol),
"가로,세로","""향료""에 관한 문제입니다. 천연 '용현향(Ambergris)'을 모방한 합성 향료 '암브록산(Ambroxan)'을 메인으로 사용하여, 따뜻한 살 냄새와 나무 향으로 세계적인 성공을 거둔 남성 향수는 무엇일까요?",크리드 어벤투스,
"가로,세로","“향료”에 관한 문제입니다. 톰 포드 ‘토바코 바닐’처럼 ‘담뱃잎‘을 주제로 한 향수는, 담배 태우는 냄새가 아닌, 건조 과정에서 나오는 어떤 뉘앙스를 강조할까요?",달콤한 건초 꿀 말린 과일 냄새,
"가로,세로","""향료""에 관한 문제입니다. 합성 향료인 '알데하이드(Aldehyde)'를 대량으로 사용하여, 당시에는 파격적이었던 '깨끗한 비누' 혹은 '반짝이는 샴페인' 같은 향을 구현해낸 전설적인 향수는 무엇일까요?",샤넬 No.5,
"가로,세로","""향료""에 관한 문제입니다. 향료 업계에서 '시아쥬(Sillage)'라는 용어는 무엇을 의미할까요?",향수의확산력,
"가로,세로","""향료""에 관한 문제입니다. 향료 업계에서 '시야쥬(Sillage)'라는 용어는 무엇을 의미할까요?",향수의 확산력,
"가로,세로","""향료""에 관한 문제입니다. 향수 '샤넬 No.5'를 유명하게 만든 성분으로, 비누 향 같기도 하고 반짝이는 느낌을 주어 향을 풍성하고 화려하게 만들어주는 합성 향료는 무엇일까요?",알데하이드 (Aldehyde),
"가로,세로","""향료""에 관한 문제입니다. 향수의 기본 구조인 '노트(Note)'중, 향수의 첫인상을 결정하며 가장 먼저 느껴지는 가볍고 휘발성이 강한 향은 무엇일까요?7",탑 노트 (Top Note),
"가로,세로","""향료""에 관한 문제입니다. 향수의 역사에서 구어망(Gourmand, 먹음직스러운 디저트) 계열의 유행을 시작시킨 향료로, 솜사탕이나 캐러멜, 설탕을 태운 듯한 달콤한 향을 내는 것은 무엇일까요?",에틸 말톨(Ethyl Maltol),
"가로,세로","""힘을 다해 고생한 끝에 겨우 찾아낸다""는 뜻의 성어는?",궁심멱득(窮心覓得),
"가로,세로","""A big fish in a little pond.""와 같은 뜻의 우리 속담은?",우물 안 개구리,
"가로,세로","""Burn the midnight oil""은 무슨 뜻일까요?",늦게까지 공부하거나 일하다,
"가로,세로","""Hang in there""은 무슨 뜻일까요?",힘든 상황을 견디다,
"가로,세로","""Let me introduce my family members."" 는 무슨 뜻 인가?",나의 가족을 소개합니다.,
"가로,세로","""Let the cat out of the bag""은 무슨 뜻일까요?",비밀을 누설하다.,
"가로,세로","""Piece of cake""의 의미는?",아주 쉬운 일,
"가로,세로","""The ball is in your court""는 무슨 뜻일까요?",당신에게 결정권이 있다,
"가로,세로","""The ball is in your court""은 무슨 뜻일까요?",당신에게 결정권이 있다,
"가로,세로",( ) 고치는 약 없다?,바보,
"가로,세로",( ) 담배 피던 시절( )굴에 가야를 잡는다' 에서 공통적으로 ( )에 들어갈 말은?,호랑이,
"가로,세로",( ) 따라 강남간다?,벗,
"가로,세로",( )가 사람잡는다?,설마,
"가로,세로",( )가 찢어지게 가난하다?,가랑이,
"가로,세로",( )감기는 개도 아니 앓는다'에서안에 들어갈 시기에 속하는 명절은?,단오,
"가로,세로",( )같이 벌어서 정승같이 쓴다?,개,
"가로,세로",( )는 거울만 나무란다?,못난여자,
"가로,세로",( )는 독속에 숨어도 못 속인다?,사주팔자,
"가로,세로",( )는(은) 죽어서 가죽을 남긴다?,호랑이,
"가로,세로",( )만 참으면 살인도 막는다?,세번,
"가로,세로",( )에 옷 젖는 줄 모른다.,가랑비,
"가로,세로",( )에서 인심난다?,쌀독,
"가로,세로",( )으로 눈 가리고 아웅한다?,가랑잎,
"가로,세로",( )은 결코 죽지않고 사라질 뿐이다 - 맥아더?,노병,
"가로,세로",( )은 이기심과 동정심의 조화-애덤스미스?,도덕,
"가로,세로",( )을 일으키는 주범은 혈액 중 요산의 농도가 높아져 생긴다. ( )은 무엇인가?,통풍,
"가로,세로",() 따라 강남간다?,벗,
"가로,세로",()가 사람잡는다?,설마,
"가로,세로",()같이 벌어서 정승같이 쓴다?,개,
"가로,세로",()고치는 약 없다?,바보,
"가로,세로",()는 거울만 나무란다?,못난여자,
"가로,세로",()는 거울만 나무란다.,못난여자,
"가로,세로",()만 참으면 살인도 막는다?,세번,
"가로,세로",()에서 인심난다?,쌀독,
"가로,세로",()옷 젖는줄 모른다?,가랑비,
"가로,세로",()으로 눈 가리고 아웅한다?,가랑잎,
"가로,세로",(넌센스 퀴즈)별 세개가 불 나면?,삼성화재,
"가로,세로","(주)에스이테크노에서 주관하는 만화 행사로, 현재 서울, 부산, 대구에서 치뤄지고있는 이 행사는 무엇인가?",코믹월드,
"가로,세로",(주)NEXON의 해당 게임이 아닌 것은?,Getamped,
"가로,세로",(특정한 하루를 포함한) 날짜와 하루를 가리킬 때 쓰는 단어는?,on,
"가로,세로","(see, watch, look at, listen to, heard, feel) 이 동사들의 종류는?",지각동사,
"가로,세로",[?] 에서는 사이코가 최고라는 뜻이다. [?] 는 어느 나라일까?,일본,
"가로,세로",[과속스캔들]에서 미혼모 정남역을 맡아 백상예술대상 여자신인연기상을 수상한 배우는?,박보영,
"가로,세로","[다크나이트],[아이언맨] 등의 오리지날 음악을 작곡한 독일출신의 유명 영화음악가는?",한스 짐머,
"가로,세로",[다크나이트]에서 소름끼치는 조커연기를 했으나 개봉하기도 전에 자살한 배우는?,히스 레저,
"가로,세로","[두사부일체]에서 [투사부일체], [유감스러운도시]까지 함께 출연하며 정트리오로 불리는 배우에 속하지 않는 사람은?",정재영,
"가로,세로",[매트릭스]의 주인공 Neo의 철자순서를 바꾸면 One(영웅)이 되듯이 글자순서를 바꿔 암호나 상징을 만드는 놀이는?,애너그램,
"가로,세로",[미용]살롱 펌 시술중 롱헤어의 곱슬기를 잡으며 하단의 러블리한 웨이브 스타일에 적합한 펌 시술방법은?,매직셋팅(믹스펌),
"가로,세로",[박쥐]는 졸라의 소설 [테레즈라캥]에서 모티브를 따왔다. 소설의 여주인공 테레즈와 발음이 비슷한 [박쥐] 여주인공의이름은?,태주,
